County Name,Population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buncombe,"277,266",7,2.60%,7,11.20%,21,"27,941",11,43.77,41,43.52,43,17.10%,83,17.40%,79,22.30%,39,21.90%,39,6.30%,50,6.40%,50,22.30%,15,20.90%,18,14.50%,66,14.60%,58,11.90%,29,13.70%,35,784,20,"2,048",3,46.7,67,122,94,41.00%,83,41.00%,83,11.50%,24,60.10%,8,74.40%,7,81.50%,29,80.70%,28,95.80%,17,30.70%,21,17.00%,19,17.40%,28,"57,895",12,"53,944",13,90.70%,2,91.10%,1,75.80%,9,77.50%,10,2.70%,1,3.00%,1,1028,12,970,12,0.498,19,0.488,13,882.3,32,865.2,27,"180,804",16,"177,299",15,7.00%
Burke,"87,923",33,0.80%,33,0.00%,57,-27,57,43.53,42,43.54,42,19.30%,60,19.40%,58,22.10%,40,21.80%,41,6.30%,53,6.40%,51,31.40%,59,28.60%,56,15.10%,76,15.50%,72,15.00%,90,16.30%,83,668,35,604,28,67.4,90,61,80,63.90%,53,63.90%,53,22.20%,96,38.30%,65,42.60%,88,73.50%,71,72.10%,69,82.70%,50,39.70%,65,19.90%,37,30.10%,87,"44,798",76,"41,229",74,64.20%,46,65.20%,45,84.90%,88,85.70%,90,3.40%,44,3.40%,30,868,48,820,47,0.56,28,0.695,58,622.1,83,599.2,83,"89,511",81,"86,216",78,6.75%
Cabarrus,"240,512",11,2.20%,11,27.50%,4,"51,837",4,39.51,77,39.35,77,22.10%,23,22.40%,20,14.60%,92,14.20%,93,4.90%,90,5.10%,90,23.30%,20,21.40%,19,11.60%,10,11.20%,4,8.90%,3,10.30%,5,416,73,900,16,33.7,35,73,85,37.80%,86,37.70%,86,12.90%,38,57.70%,11,72.90%,8,87.80%,9,87.50%,8,96.10%,16,24.40%,5,12.70%,6,10.50%,5,"53,647",23,"49,592",24,52.10%,74,49.10%,77,77.00%,13,79.90%,23,3.20%,23,3.30%,17,976,20,913,22,0.74,71,0.74,70,962,21,953.8,21,"130,004",43,"128,890",41,7.00%
Caldwell,"81,075",34,0.80%,34,-0.70%,60,-540,64,43.94,36,43.97,36,18.80%,67,18.90%,66,21.10%,49,20.80%,49,5.90%,64,6.10%,62,34.10%,72,31.90%,74,14.30%,62,15.30%,68,13.50%,62,14.90%,64,737,23,606,27,57.2,82,47,75,59.20%,59,59.20%,60,16.20%,69,38.30%,66,50.30%,73,73.70%,69,73.80%,65,90.80%,30,38.20%,57,21.20%,45,19.10%,36,"43,856",82,"40,147",82,59.60%,61,59.30%,62,83.30%,70,83.10%,62,3.40%,45,3.60%,46,943,29,880,30,0.63,46,0.63,42,662.5,73,653.8,72,"105,165",59,"103,775",55,6.75%
Camden,"11,144",93,0.10%,93,12.10%,20,"1,203",45,42.54,49,42.36,52,18.40%,69,18.50%,69,18.50%,78,18.10%,79,9.60%,9,10.00%,8,16.40%,5,14.70%,5,13.50%,51,11.20%,5,9.40%,6,10.20%,3, Data is unavailable. ,, Data unavailable ,,0,1,  -   ,1,174.20%,1,174.20%,1,12.80%,37,52.40%,19,55.40%,52,87.00%,12,88.30%,5,71.80%,65,26.30%,11,9.80%,2,8.60%,3,"55,457",17,"52,032",18,21.80%,100,22.10%,100,79.10%,27,82.70%,56,3.20%,29,4.00%,68,933,31,868,34,0.73,64,0.87,94,1001.4,17,999.7,16,"115,099",51,"114,907",47,6.75%
Carteret,"69,296",39,0.60%,39,1.60%,50,"1,095",46,48.86,9,48.85,9,15.90%,93,16.10%,92,27.40%,13,27.00%,13,11.80%,4,12.00%,4,22.20%,13,20.70%,17,11.70%,11,13.40%,36,11.70%,27,12.60%,19,825,17,573,31,48.9,71,34,64,109.30%,7,114.50%,6,12.70%,35,51.80%,20,67.60%,18,86.00%,16,85.50%,14,98.90%,8,27.60%,13,17.90%,25,16.00%,18,"60,741",9,"57,329",8,72.50%,28,73.60%,25,83.30%,70,84.20%,73,3.20%,27,3.40%,25,816,82,779,73,0.34,4,0.33,2,823.7,41,810.2,36,"249,605",6,"245,515",4,6.75%
Caswell,"22,245",75,0.20%,75,-5.20%,76,"-1,214",76,45.2,27,45.24,26,16.70%,87,16.80%,88,23.90%,30,23.40%,29,6.20%,56,6.30%,57,31.70%,64,29.80%,68,13.80%,58,13.30%,32,12.80%,46,14.10%,48,438,66,99,81,17.7,7,4,11,88.20%,26,88.20%,26,18.10%,84,33.20%,83,53.50%,58,74.10%,67,69.90%,81,43.40%,93,31.50%,25,27.80%,75,24.00%,67,"42,247",92,"38,866",92,27.40%,97,23.90%,99,86.00%,96,86.10%,93,3.50%,53,3.90%,63,848,64,802,56,0.735,68,0.735,68,580.2,91,576.7,87,"78,936",93,"78,461",89,6.75%
Catawba,"163,845",18,1.50%,18,5.30%,39,"8,205",27,42.56,48,42.43,51,20.20%,43,20.40%,43,19.90%,58,19.50%,61,6.10%,59,6.30%,58,26.70%,34,24.50%,34,13.50%,50,15.40%,71,12.00%,31,13.20%,29,538,53,858,19,53.9,81,86,88,46.40%,77,46.40%,76,13.30%,44,47.10%,29,56.30%,48,78.90%,40,78.40%,37,94.70%,22,32.70%,30,17.90%,24,17.20%,27,"53,333",25,"49,400",25,77.90%,15,77.90%,14,82.60%,58,84.40%,75,3.30%,33,3.40%,28,1027,13,964,14,0.3985,8,0.575,24,716,66,690.8,66,"124,519",48,"120,140",45,7.00%
Chatham,"79,708",35,0.70%,35,20.70%,9,"13,660",20,50.25,7,49.93,7,16.40%,89,16.80%,87,29.00%,8,28.40%,10,4.90%,91,5.00%,91,15.90%,4,14.50%,3,12.20%,20,14.00%,48,9.70%,9,10.70%,7,302,89,225,64,38.9,46,29,59,107.20%,8,107.60%,8,9.60%,15,58.20%,10,71.00%,9,84.20%,19,84.10%,17,69.70%,68,25.90%,10,16.70%,18,13.30%,10,"75,624",1,"70,130",1,47.40%,79,44.40%,84,73.00%,7,75.70%,7,2.90%,5,3.10%,3,919,34,852,38,0.685,59,0.665,52,1218,8,1188.5,9,"183,156",14,"178,723",14,7.00%
Cherokee,"29,387",71,0.30%,71,8.00%,30,"2,170",40,52.17,2,51.94,2,15.90%,94,15.90%,94,32.20%,4,31.90%,3,8.70%,16,9.00%,15,32.00%,65,29.60%,63,14.80%,72,16.60%,83,14.70%,85,16.40%,85,573,49,164,73,73.4,96,21,43,53.80%,66,57.00%,65,7.20%,9,46.60%,32,68.10%,16,78.40%,42,76.40%,51,55.90%,86,41.40%,74,26.90%,71,24.90%,69,"40,485",98,"37,421",97,76.10%,19,74.10%,21,77.70%,16,77.70%,12,3.70%,63,3.80%,61,796,89,740,91,0.61,39,0.61,32,841.8,40,665.1,70,"138,007",36,"133,027",36,7.00%
